sensor,deployment,year,timestamp,depth,temperature,C7_output,gain,est.chl_a,battery,flag_RE
240115,Winter2018,2019,2019-02-26 12:56:00,3,0.498,13.63979,100,6.128856045,2.73,n
240115,Winter2018,2019,2019-06-20 08:56:00,3,0.316,13.75533,100,6.130988104,2.63,n
240115,Winter2018,2018,2018-12-04 08:26:00,3,0.918,13.81828,100,6.132149721,2.84,n
240115,Winter2018,2018,2018-12-02 09:56:00,3,1.154,13.96633,100,6.134881687,2.84,n
240115,Winter2018,2019,2019-06-13 09:26:00,3,0.533,13.99772,100,6.135460927,2.64,n
240115,Winter2018,2019,2019-06-16 15:26:00,3,0.419,14.03881,100,6.136219161,2.64,n
240115,Winter2018,2019,2019-02-25 12:26:00,3,0.384,14.04823,100,6.136392988,2.74,n
240115,Winter2018,2019,2019-06-15 14:26:00,3,0.201,14.06907,100,6.136777549,2.64,n
240115,Winter2018,2019,2019-02-25 12:56:00,3,0.396,14.35593,100,6.142070976,2.74,n
240115,Winter2018,2019,2019-06-14 11:56:00,3,0.235,14.4026,100,6.142932178,2.64,n
240115,Winter2018,2019,2019-02-26 12:26:00,3,0.43,14.66139,100,6.14770763,2.74,n
240115,Winter2018,2018,2018-12-14 11:56:00,3,0.714,14.87251,100,6.151603427,2.82,n
240115,Winter2018,2019,2019-06-13 08:26:00,3,0.293,14.91455,100,6.152379191,2.64,n
240115,Winter2018,2019,2019-02-27 13:26:00,3,0.521,14.93581,100,6.152771502,2.73,n
240115,Summer2019,2019,2019-08-13 10:04:00,9,8.934,15,10,5.239794797,2.89,n
240115,Winter2018,2019,2019-06-29 09:56:00,3,0.235,15.01487,100,6.154230396,2.58,n
240115,Winter2018,2019,2019-06-13 23:56:00,3,-0.216,15.16932,100,6.157080462,2.64,n
240115,Winter2018,2019,2019-02-23 12:26:00,3,0.407,15.1917,100,6.15749344,2.74,n
240115,Winter2018,2019,2019-02-26 11:56:00,3,0.396,15.34212,100,6.16026914,2.73,n
240115,Winter2018,2019,2019-02-27 12:26:00,3,0.533,15.45807,100,6.162408766,2.73,n
240115,Winter2018,2019,2019-06-13 21:26:00,3,-0.204,15.48555,100,6.162915854,2.64,n
240115,Winter2018,2018,2018-12-03 07:56:00,3,0.929,15.55519,100,6.164200921,2.84,n
240115,Winter2018,2019,2019-06-13 08:56:00,3,0.453,15.56846,100,6.164445792,2.64,n
240115,Winter2018,2018,2018-12-02 11:56:00,3,1.176,15.63407,100,6.165656494,2.84,n
240115,Winter2018,2018,2018-12-02 20:56:00,3,0.974,15.73226,100,6.167468394,2.84,n
240115,Winter2018,2018,2018-12-02 10:56:00,3,1.199,15.99223,100,6.17226562,2.84,n
240115,Winter2018,2018,2018-12-04 07:56:00,3,0.907,16.04944,100,6.173321316,2.84,n
240115,Winter2018,2018,2018-12-02 08:56:00,3,1.109,16.23219,100,6.176693602,2.84,n
240115,Winter2018,2018,2018-12-02 14:56:00,3,1.053,16.3302,100,6.178502181,2.84,n
240115,Winter2018,2018,2018-12-03 11:26:00,3,1.019,16.46634,100,6.181014372,2.84,n
240115,Winter2018,2018,2018-12-02 19:26:00,3,0.929,16.59367,100,6.183363993,2.84,n
240115,Summer2018,2018,2018-07-06 18:42:00,9,6.797,16.64784,10,6.86848,3.06,q
240115,Winter2018,2018,2018-12-03 02:56:00,3,0.963,16.69084,100,6.185157071,2.84,n
240115,Winter2018,2019,2019-02-26 14:56:00,3,0.35,16.72561,100,6.185798681,2.73,n
240115,Winter2018,2019,2019-06-13 10:26:00,3,0.464,16.75403,100,6.186323116,2.64,n
240115,Winter2018,2018,2018-11-28 14:26:00,3,1.444,16.78921,100,6.186972292,2.85,n
240115,Winter2018,2019,2019-02-25 11:56:00,3,0.407,16.85198,100,6.188130587,2.73,n
240115,Winter2018,2019,2019-07-10 11:56:00,3,2.903,16.87863,100,6.188622359,2.63,n
240115,Winter2018,2019,2019-02-23 12:56:00,3,0.361,16.9674,100,6.190260432,2.74,n
240115,Winter2018,2018,2018-12-03 16:26:00,3,0.952,16.99885,100,6.190840779,2.84,n
240115,Winter2018,2018,2018-12-03 01:26:00,3,0.974,17.08383,100,6.192408915,2.84,n
240115,Winter2018,2018,2018-12-02 14:26:00,3,1.087,17.09733,100,6.19265803,2.84,n
240115,Winter2018,2019,2019-06-14 00:26:00,3,-0.251,17.19332,100,6.194429334,2.64,n
240115,Winter2018,2018,2018-12-02 03:56:00,3,0.997,17.34066,100,6.197148199,2.84,n
240115,Winter2018,2019,2019-06-15 17:56:00,3,0.051,17.34516,100,6.197231237,2.64,n
240115,Winter2018,2019,2019-06-13 17:56:00,3,0.085,17.37625,100,6.197804941,2.64,n
240115,Winter2018,2018,2018-12-03 22:56:00,3,0.963,17.44536,100,6.199080228,2.84,n
240115,Winter2018,2019,2019-06-14 02:56:00,3,-0.274,17.48462,100,6.199804693,2.63,n
240115,Winter2018,2019,2019-06-14 13:26:00,3,0.12,17.51524,100,6.200369724,2.64,n
240115,Winter2018,2019,2019-02-27 12:56:00,3,0.521,17.62302,100,6.202358588,2.73,n
240115,Winter2018,2018,2018-12-04 19:26:00,3,0.873,17.67081,100,6.203240457,2.84,n
240115,Winter2018,2019,2019-06-14 00:56:00,3,-0.251,17.70137,100,6.203804381,2.64,n
240115,Winter2018,2018,2018-12-02 21:56:00,3,1.008,17.72026,100,6.204152958,2.84,n
240115,Winter2018,2019,2019-06-14 01:56:00,3,-0.216,17.86576,100,6.206837869,2.64,n
240115,Winter2018,2019,2019-06-21 09:26:00,3,0.155,17.92628,100,6.207954645,2.63,n
240115,Winter2018,2018,2018-12-03 02:26:00,3,0.907,17.954,100,6.208466162,2.84,n
240115,Winter2018,2018,2018-12-04 08:56:00,3,0.907,17.99368,100,6.209198377,2.84,n
240115,Winter2018,2018,2018-12-03 08:56:00,3,1.042,18.00374,100,6.209384014,2.84,n
240115,Winter2018,2018,2018-12-03 12:26:00,3,1.109,18.07901,100,6.210772972,2.84,n
240115,Winter2018,2018,2018-12-03 01:56:00,3,0.941,18.12378,100,6.211599112,2.84,n
240115,Winter2018,2018,2018-12-03 13:56:00,3,1.042,18.14516,100,6.211993637,2.84,n
240115,Winter2018,2018,2018-12-03 10:26:00,3,1.064,18.14925,100,6.21206911,2.84,n
240115,Winter2018,2019,2019-02-25 13:56:00,3,0.27,18.19781,100,6.212965188,2.74,n
240115,Winter2018,2018,2018-12-02 15:26:00,3,1.019,18.20764,100,6.213146581,2.84,n
240115,Winter2018,2018,2018-12-02 08:26:00,3,1.042,18.28817,100,6.214632601,2.84,n
240115,Winter2018,2019,2019-06-20 10:26:00,3,0.624,18.37961,100,6.216319943,2.63,n
240115,Winter2018,2018,2018-12-02 03:26:00,3,1.008,18.39299,100,6.216566844,2.84,n
240115,Winter2018,2019,2019-06-21 08:26:00,3,0.155,18.3998,100,6.216692509,2.63,n
240115,Winter2018,2019,2019-06-20 09:56:00,3,0.544,18.4075,100,6.216834598,2.63,n
240115,Winter2018,2018,2018-12-02 13:26:00,3,1.109,18.47649,100,6.21810767,2.84,n
240115,Winter2018,2018,2018-12-03 18:56:00,3,0.895,18.48147,100,6.218199566,2.84,n
240115,Winter2018,2018,2018-12-03 14:56:00,3,0.974,18.48182,100,6.218206024,2.84,n
240115,Winter2018,2018,2018-12-07 23:56:00,3,0.714,18.56212,100,6.2196878,2.83,n
240115,Winter2018,2018,2018-12-16 12:26:00,3,0.692,18.6275,100,6.220894258,2.81,n
240115,Winter2018,2019,2019-06-14 13:56:00,3,0.178,18.72989,100,6.22278366,2.64,n
240115,Winter2018,2018,2018-12-08 15:56:00,3,0.737,18.76738,100,6.223475463,2.83,n
240115,Winter2018,2018,2018-11-30 07:26:00,3,1.187,18.76785,100,6.223484136,2.84,n
240115,Winter2018,2019,2019-07-04 14:26:00,3,1.765,18.78278,100,6.223759639,2.62,n
240115,Winter2018,2018,2018-12-07 14:26:00,3,0.794,18.8173,100,6.224396637,2.83,n
240115,Summer2018,2018,2018-07-23 14:42:00,9,7.758,18.83773,10,6.86848,3,q
240115,Winter2018,2018,2018-12-02 19:56:00,3,0.952,18.89452,100,6.225821578,2.84,n
240115,Winter2018,2018,2018-12-02 16:26:00,3,0.986,18.89636,100,6.225855531,2.84,n
240115,Winter2018,2018,2018-12-02 21:26:00,3,0.997,18.92781,100,6.226435878,2.84,n
240115,Winter2018,2019,2019-06-13 20:26:00,3,-0.146,18.96754,100,6.227169016,2.63,n
240115,Winter2018,2019,2019-06-16 15:56:00,3,0.281,18.97944,100,6.227388606,2.63,n
240115,Winter2018,2018,2018-12-02 07:26:00,3,1.019,19.01859,100,6.228111041,2.84,n
240115,Winter2018,2018,2018-12-09 16:26:00,3,0.703,19.0787,100,6.229220251,2.83,n
240115,Winter2018,2018,2018-12-03 11:56:00,3,1.109,19.11849,100,6.229954496,2.84,n
240115,Winter2018,2018,2018-12-03 07:26:00,3,0.952,19.15154,100,6.230564368,2.84,n
240115,Winter2018,2018,2018-12-10 12:26:00,3,0.748,19.24078,100,6.232211113,2.82,n
240115,Winter2018,2018,2018-12-02 13:56:00,3,1.064,19.24534,100,6.232295259,2.84,n
240115,Winter2018,2018,2018-12-08 14:26:00,3,0.771,19.29124,100,6.233142252,2.83,n
240115,Winter2018,2018,2018-12-02 20:26:00,3,0.986,19.32079,100,6.233687538,2.84,n
240115,Winter2018,2018,2018-12-04 09:56:00,3,0.986,19.42537,100,6.235617353,2.84,n
240115,Winter2018,2019,2019-06-29 11:26:00,3,0.464,19.5139,100,6.237250997,2.63,n
240115,Winter2018,2018,2018-12-03 23:26:00,3,0.918,19.58603,100,6.238582012,2.84,n
240115,Winter2018,2018,2018-12-03 15:56:00,3,0.929,19.61167,100,6.239055147,2.83,n
240115,Winter2018,2018,2018-12-05 01:26:00,3,0.884,19.6125,100,6.239070463,2.84,n
240115,Winter2018,2019,2019-06-13 19:56:00,3,-0.1,19.6282,100,6.239360175,2.63,n
240115,Winter2018,2018,2018-12-04 16:26:00,3,0.884,19.68031,100,6.24032176,2.83,n
240115,Winter2018,2019,2019-02-26 11:26:00,3,0.43,19.75718,100,6.241740243,2.74,n
240115,Winter2018,2018,2018-12-03 19:56:00,3,0.952,19.78572,100,6.242266891,2.84,n
240115,Winter2018,2018,2018-11-28 15:26:00,3,1.422,19.79958,100,6.24252265,2.85,n
240115,Winter2018,2018,2018-12-08 15:26:00,3,0.748,19.82587,100,6.243007779,2.83,n
240115,Winter2018,2018,2018-11-28 15:56:00,3,1.411,19.86241,100,6.243682052,2.85,n
240115,Winter2018,2018,2018-12-03 15:26:00,3,0.997,19.99204,100,6.246074114,2.84,n
240115,Summer2019,2019,2019-08-12 06:34:00,9,8.99,20,10,6.337297536,2.9,n
240115,Winter2018,2018,2018-12-02 05:56:00,3,1.008,20.01283,100,6.246457752,2.84,n
240115,Winter2018,2018,2018-12-14 13:56:00,3,0.578,20.11101,100,6.248269468,2.82,n
240115,Winter2018,2018,2018-12-05 01:56:00,3,0.862,20.13038,100,6.248626902,2.83,n
240115,Winter2018,2018,2018-12-03 21:26:00,3,0.884,20.16159,100,6.24920282,2.84,n
240115,Winter2018,2018,2018-12-03 16:56:00,3,0.952,20.17041,100,6.249365576,2.84,n
240115,Winter2018,2018,2018-12-16 21:26:00,3,0.476,20.17379,100,6.249427947,2.82,n
240115,Winter2018,2019,2019-02-28 12:56:00,3,0.419,20.23828,100,6.250617981,2.74,n
240115,Winter2018,2018,2018-12-15 23:26:00,3,0.453,20.23899,100,6.250631082,2.81,n
240115,Winter2018,2018,2018-12-07 13:56:00,3,0.782,20.27884,100,6.251366435,2.83,n
240115,Winter2018,2018,2018-12-04 23:56:00,3,0.884,20.29021,100,6.251576245,2.83,n
240115,Winter2018,2019,2019-07-05 13:26:00,3,1.853,20.30129,100,6.251780704,2.63,n
240115,Winter2018,2018,2018-12-04 12:26:00,3,0.963,20.32266,100,6.252175045,2.83,n
240115,Winter2018,2018,2018-12-12 18:26:00,3,0.59,20.36951,100,6.253039568,2.82,n
240115,Winter2018,2018,2018-12-02 12:26:00,3,1.187,20.37122,100,6.253071123,2.84,n
240115,Winter2018,2018,2018-12-03 18:26:00,3,0.941,20.44169,100,6.254371506,2.84,n
240115,Winter2018,2018,2018-12-02 05:26:00,3,1.042,20.46491,100,6.254799984,2.84,n
240115,Winter2018,2018,2018-12-03 00:26:00,3,1.008,20.47965,100,6.255071981,2.84,n
240115,Winter2018,2018,2018-12-03 00:56:00,3,0.941,20.59869,100,6.257268627,2.84,n
240115,Winter2018,2018,2018-12-02 15:56:00,3,0.997,20.65802,100,6.258363443,2.84,n
240115,Winter2018,2018,2018-12-02 11:26:00,3,1.143,20.66922,100,6.258570117,2.84,n
240115,Winter2018,2018,2018-12-02 07:56:00,3,1.031,20.78766,100,6.26075569,2.84,n
240115,Winter2018,2018,2018-12-17 11:56:00,3,0.624,20.8361,100,6.261649553,2.81,n
240115,Winter2018,2019,2019-06-14 01:26:00,3,-0.204,20.93233,100,6.263425285,2.63,n
240115,Winter2018,2019,2019-07-01 13:26:00,3,1.075,20.98711,100,6.264436141,2.62,n
240115,Winter2018,2018,2018-12-03 22:26:00,3,0.929,20.99753,100,6.264628421,2.84,n
240115,Winter2018,2018,2018-12-17 12:26:00,3,0.658,21.03721,100,6.265360636,2.81,n
240115,Winter2018,2018,2018-12-02 06:56:00,3,1.008,21.05533,100,6.265695004,2.84,n
240115,Winter2018,2018,2018-12-04 06:56:00,3,0.918,21.14262,100,6.267305767,2.84,n
240115,Summer2018,2018,2018-07-09 20:12:00,9,6.573,21.18077,10,6.86848,3.04,q
240115,Winter2018,2018,2018-12-02 23:56:00,3,0.952,21.19781,100,6.268324188,2.84,n
240115,Winter2018,2018,2018-11-30 05:26:00,3,1.199,21.2119,100,6.268584191,2.84,n
240115,Winter2018,2018,2018-12-16 22:56:00,3,0.498,21.27657,100,6.269777546,2.81,n
240115,Winter2018,2019,2019-06-13 18:26:00,3,0.039,21.30666,100,6.270332797,2.64,n
240115,Summer2018,2018,2018-07-10 14:42:00,9,7.039,21.30834,10,6.86848,3.03,q
240115,Winter2018,2018,2018-12-04 13:26:00,3,0.941,21.31193,100,6.270430044,2.84,n
240115,Winter2018,2018,2018-12-03 21:56:00,3,0.952,21.34485,100,6.271037517,2.84,n
240115,Winter2018,2018,2018-12-03 03:56:00,3,0.974,21.34568,100,6.271052833,2.84,n
240115,Winter2018,2019,2019-06-15 18:26:00,3,0.074,21.39987,100,6.272052801,2.64,n
240115,Winter2018,2019,2019-06-13 10:56:00,3,0.567,21.41189,100,6.272274606,2.64,n
240115,Winter2018,2018,2018-11-28 14:56:00,3,1.422,21.42729,100,6.272558782,2.85,n
240115,Winter2018,2019,2019-06-19 12:56:00,3,0.601,21.53909,100,6.274621828,2.64,n
240115,Winter2018,2018,2018-11-28 13:56:00,3,1.444,21.54999,100,6.274822965,2.85,n
240115,Winter2018,2018,2018-12-18 01:26:00,3,0.453,21.56278,100,6.275058979,2.81,n
240115,Winter2018,2018,2018-11-30 04:26:00,3,1.199,21.56474,100,6.275095147,2.84,n
240115,Winter2018,2018,2018-12-17 03:56:00,3,0.476,21.60731,100,6.275880691,2.82,n
240115,Summer2018,2018,2018-07-23 13:42:00,9,7.806,21.61855,10,6.86848,3,q
240115,Winter2018,2018,2018-12-02 22:56:00,3,0.997,21.64498,100,6.276575816,2.84,n
240115,Winter2018,2018,2018-12-04 19:56:00,3,0.862,21.65274,100,6.276719011,2.84,n
240115,Winter2018,2018,2018-11-30 10:26:00,3,1.132,21.6618,100,6.276886195,2.86,n
240115,Winter2018,2019,2019-06-16 14:26:00,3,0.235,21.6692,100,6.277022748,2.64,n
240115,Winter2018,2018,2018-12-07 16:26:00,3,0.748,21.70751,100,6.277729682,2.83,n
240115,Winter2018,2019,2019-02-23 11:56:00,3,0.327,21.75909,100,6.278681488,2.73,n
240115,Winter2018,2018,2018-12-16 23:26:00,3,0.464,21.76265,100,6.27874718,2.81,n
240115,Winter2018,2018,2018-12-16 11:26:00,3,0.646,21.83845,100,6.280145918,2.81,n
240115,Winter2018,2018,2018-12-07 22:56:00,3,0.737,21.84846,100,6.280330632,2.83,n
240115,Winter2018,2019,2019-07-10 11:26:00,3,2.839,21.85177,100,6.280391712,2.63,n
240115,Winter2018,2018,2018-12-12 18:56:00,3,0.567,21.87339,100,6.280790666,2.82,n
240115,Summer2018,2018,2018-07-10 20:42:00,9,7.126,21.87384,10,6.86848,3.05,q
240115,Winter2018,2018,2018-12-14 12:26:00,3,0.726,21.88073,100,6.280926111,2.82,n
240115,Winter2018,2018,2018-12-02 04:56:00,3,0.986,21.88926,100,6.281083515,2.84,n
240115,Winter2018,2018,2018-12-05 00:56:00,3,0.895,21.93213,100,6.281874595,2.85,n
240115,Winter2018,2018,2018-12-04 15:26:00,3,0.952,21.94066,100,6.282031999,2.84,n
240115,Winter2018,2018,2018-12-10 11:56:00,3,0.748,21.94196,100,6.282055988,2.83,n
240115,Winter2018,2018,2018-11-30 11:56:00,3,1.165,21.95677,100,6.282329277,2.84,n
240115,Winter2018,2018,2018-12-07 15:26:00,3,0.771,21.98881,100,6.282920511,2.83,n
240115,Winter2018,2018,2018-11-30 10:56:00,3,1.109,22.0135,100,6.283376116,2.84,n
240115,Winter2018,2018,2018-12-15 22:56:00,3,0.521,22.05199,100,6.284086371,2.82,n
240115,Winter2018,2018,2018-12-10 12:56:00,3,0.726,22.05632,100,6.284166273,2.82,n
240115,Summer2018,2018,2018-07-23 14:12:00,9,7.825,22.0694,10,6.86848,3,q
240115,Winter2018,2019,2019-06-13 19:26:00,3,-0.03,22.07698,100,6.284547512,2.64,n
240115,Winter2018,2018,2018-09-29 13:56:00,3,5.456,22.11933,100,6.285328996,2.97,n
240115,Winter2018,2019,2019-06-14 10:26:00,3,0.258,22.13449,100,6.285608744,2.64,n
240115,Winter2018,2019,2019-06-18 11:26:00,3,0.235,22.14669,100,6.285833871,2.64,n
240115,Winter2018,2018,2018-12-07 14:56:00,3,0.794,22.14823,100,6.285862288,2.83,n
240115,Winter2018,2019,2019-07-11 13:56:00,3,3.244,22.14911,100,6.285878527,2.62,n
240115,Winter2018,2018,2018-12-18 11:26:00,3,0.635,22.19264,100,6.286681786,2.81,n
240115,Summer2018,2018,2018-07-23 15:42:00,9,7.749,22.19446,10,6.86848,3,q
240115,Winter2018,2018,2018-12-07 13:26:00,3,0.862,22.1988,100,6.286795456,2.83,n
240115,Winter2018,2018,2018-12-04 22:26:00,3,0.929,22.22847,100,6.287342957,2.83,n
240115,Winter2018,2018,2018-12-08 08:56:00,3,0.794,22.25944,100,6.287914446,2.83,n
240115,Winter2018,2019,2019-02-25 14:26:00,3,0.224,22.26051,100,6.287934191,2.73,n
240115,Summer2018,2018,2018-07-13 05:42:00,9,7.319,22.31463,10,6.86848,3.03,q
240115,Winter2018,2019,2019-02-10 13:26:00,3,0.476,22.34726,100,6.289534989,2.75,n
240115,Winter2018,2018,2018-12-03 14:26:00,3,0.986,22.3584,100,6.289740555,2.84,n
240115,Winter2018,2018,2018-12-02 18:26:00,3,0.941,22.37202,100,6.289991885,2.84,n
240115,Winter2018,2018,2018-11-29 08:26:00,3,1.31,22.41388,100,6.290764328,2.85,n
240115,Winter2018,2018,2018-12-07 19:56:00,3,0.714,22.45694,100,6.291558914,2.83,n
240115,Winter2018,2018,2018-11-30 08:26:00,3,1.12,22.48619,100,6.292098664,2.84,n
240115,Winter2018,2018,2018-12-08 13:56:00,3,0.771,22.5341,100,6.292982747,2.83,n
240115,Winter2018,2018,2018-12-15 21:26:00,3,0.521,22.55512,100,6.293370629,2.82,n
240115,Winter2018,2019,2019-02-27 14:56:00,3,0.35,22.65982,100,6.295302658,2.73,n
240115,Winter2018,2019,2019-07-09 14:56:00,3,2.603,22.66764,100,6.295446961,2.62,n
240115,Winter2018,2019,2019-07-04 13:56:00,3,1.732,22.67895,100,6.295655664,2.63,n
240115,Winter2018,2018,2018-12-02 22:26:00,3,0.986,22.72757,100,6.296552849,2.84,n
240115,Winter2018,2018,2018-12-02 04:26:00,3,1.053,22.73722,100,6.296730921,2.84,n
240115,Winter2018,2018,2018-12-04 09:26:00,3,0.952,22.74078,100,6.296796613,2.83,n
240115,Winter2018,2018,2018-12-04 01:26:00,3,0.884,22.74214,100,6.296821709,2.84,n
240115,Winter2018,2018,2018-12-16 08:56:00,3,0.498,22.76606,100,6.297263105,2.81,n
240115,Summer2018,2018,2018-07-13 00:12:00,9,7.088,22.82437,10,6.86848,3.04,q
240115,Winter2018,2018,2018-12-14 20:56:00,3,0.544,22.86312,100,6.299054153,2.82,n
240115,Winter2018,2019,2019-06-14 09:56:00,3,-0.042,22.86709,100,6.299127412,2.63,n
240115,Winter2018,2019,2019-06-18 11:56:00,3,0.407,22.89641,100,6.299668454,2.63,n
240115,Winter2018,2018,2018-12-07 21:26:00,3,0.703,22.92057,100,6.300114278,2.83,n
240115,Winter2018,2018,2018-10-13 12:26:00,3,0.578,22.93816,100,6.300438866,2.93,n
240115,Winter2018,2018,2018-12-04 16:56:00,3,0.918,22.93975,100,6.300468207,2.83,n
240115,Winter2018,2018,2018-12-02 16:56:00,3,1.042,22.96119,100,6.300863839,2.84,n
240115,Winter2018,2019,2019-06-19 11:56:00,3,0.748,22.96356,100,6.300907573,2.63,n
240115,Winter2018,2018,2018-11-29 00:56:00,3,1.322,22.98198,100,6.301247477,2.84,n
240115,Winter2018,2018,2018-12-01 13:56:00,3,1.098,23.02094,100,6.301966406,2.85,n
240115,Winter2018,2018,2018-10-13 11:56:00,3,0.555,23.05198,100,6.302539187,2.92,n
240115,Winter2018,2019,2019-06-19 15:26:00,3,0.327,23.05831,100,6.302655994,2.63,n
240115,Winter2018,2018,2018-11-28 20:26:00,3,1.344,23.07051,100,6.302881121,2.84,n
240115,Winter2018,2019,2019-07-05 13:56:00,3,1.93,23.14833,100,6.304317133,2.62,n
240115,Winter2018,2018,2018-11-28 23:56:00,3,1.333,23.14975,100,6.304343337,2.85,n
240115,Winter2018,2018,2018-12-03 20:56:00,3,0.918,23.15525,100,6.304444828,2.84,n
240115,Winter2018,2018,2018-12-04 13:56:00,3,0.952,23.15579,100,6.304454793,2.84,n
240115,Winter2018,2018,2018-11-29 00:26:00,3,1.344,23.17142,100,6.304743213,2.84,n
240115,Winter2018,2018,2018-11-29 22:26:00,3,1.232,23.18463,100,6.304986977,2.84,n
240115,Winter2018,2019,2019-02-26 15:56:00,3,0.304,23.20678,100,6.305395711,2.73,n
240115,Winter2018,2019,2019-02-27 11:56:00,3,0.533,23.22051,100,6.305649071,2.73,n
240115,Winter2018,2019,2019-02-26 10:56:00,3,0.419,23.36128,100,6.3082467,2.74,n
240115,Winter2018,2018,2018-11-21 07:56:00,3,1.853,23.37987,100,6.308589741,2.86,n
240115,Winter2018,2018,2018-12-04 00:26:00,3,0.952,23.39823,100,6.308928538,2.84,n
240115,Winter2018,2018,2018-12-18 03:26:00,3,0.476,23.4189,100,6.309309962,2.81,n
240115,Winter2018,2019,2019-02-25 10:26:00,3,0.316,23.4218,100,6.309363475,2.74,n
240115,Winter2018,2018,2018-12-07 12:56:00,3,0.839,23.46201,100,6.310105471,2.83,n
240115,Winter2018,2018,2018-12-17 21:26:00,3,0.441,23.46278,100,6.310119679,2.81,n
240115,Winter2018,2018,2018-12-17 06:26:00,3,0.43,23.55025,100,6.311733763,2.81,n
240115,Winter2018,2018,2018-12-17 03:26:00,3,0.464,23.5589,100,6.311893382,2.81,n
240115,Winter2018,2018,2018-11-28 22:56:00,3,1.322,23.56736,100,6.312049494,2.85,n
240115,Winter2018,2019,2019-07-01 12:56:00,3,1.053,23.59893,100,6.312632055,2.62,n
240115,Winter2018,2019,2019-06-12 09:26:00,3,0.384,23.66727,100,6.313893133,2.63,n
240115,Winter2018,2018,2018-10-13 13:56:00,3,0.646,23.70037,100,6.314503928,2.92,n
240115,Winter2018,2018,2018-12-16 11:56:00,3,0.68,23.71571,100,6.314786997,2.81,n
240115,Winter2018,2018,2018-12-07 20:56:00,3,0.714,23.71831,100,6.314834974,2.83,n
240115,Winter2018,2018,2018-08-27 11:56:00,3,10.003,23.79074,100,6.316171525,3.09,n
240115,Winter2018,2018,2018-09-28 12:26:00,3,5.596,23.79761,100,6.316298297,2.97,n
240115,Winter2018,2018,2018-12-18 03:56:00,3,0.487,23.82177,100,6.316744122,2.81,n
240115,Summer2018,2018,2018-07-23 15:12:00,9,7.844,23.85581,10,6.86848,3,q
240115,Winter2018,2018,2018-12-03 17:26:00,3,0.929,23.86139,100,6.31747523,2.84,n
240115,Winter2018,2019,2019-07-03 13:26:00,3,1.566,23.88508,100,6.317912381,2.62,n
240115,Winter2018,2018,2018-12-08 14:56:00,3,0.805,23.91646,100,6.318491436,2.83,n
240115,Winter2018,2018,2018-12-02 23:26:00,3,0.929,23.93849,100,6.318897956,2.84,n
240115,Winter2018,2018,2018-11-28 21:26:00,3,1.288,23.99197,100,6.319884822,2.84,n
240115,Winter2018,2019,2019-07-09 12:56:00,3,2.495,24.00778,100,6.320176564,2.63,n
